/Q X,/Q Y,/QBar X,/QBar Y
0,0.0001183455495135531,0,0.9999177515476059
5.000000000000001e-13,0.00695723189697977,5.000000000000001e-13,0.9950496365492111
1.048795918363442e-12,0.01402372634056531,1.048795918363442e-12,0.9897933391182083
1.725037226566593e-12,0.02249760772545055,1.725037226566593e-12,0.9833260673470713
3.077519842972893e-12,0.03824271058252749,3.077519842972893e-12,0.9704246613936314
5.000000000000001e-12,0.05831182731764948,5.000000000000001e-12,0.9521630377427411
8.844960314054215e-12,0.08950325393979752,8.844960314054215e-12,0.9162914650163827
1.284716758644756e-11,0.1197122426219604,1.284716758644756e-11,0.8790161256670601
1.724271297328335e-11,0.1486261875855809,1.724271297328335e-11,0.8383455404682169
2.575930471114399e-11,0.1991022509741637,2.575930471114399e-11,0.7599879915122281
3.48228853111547e-11,0.2497752921692049,3.48228853111547e-11,0.6770476912165172
4.48228853111547e-11,0.3047427700227311,4.48228853111547e-11,0.5859121844621722
5.48228853111547e-11,0.3584365915412027,5.48228853111547e-11,0.4954452942374785
6.482288531115471e-11,0.4105129940452795,6.482288531115471e-11,0.4067924785064487
7.482288531115471e-11,0.4615717623850484,7.482288531115471e-11,0.3223304197217491
8.482288531115472e-11,0.5126998449652678,8.482288531115472e-11,0.2452707307815496
9.482288531115472e-11,0.5648935695862948,9.482288531115472e-11,0.1781170986008723
1.048228853111547e-10,0.6187836775753761,1.048228853111547e-10,0.1219275096669867
1.148228853111547e-10,0.6745343314564688,1.148228853111547e-10,0.07733083097634498
1.248228853111547e-10,0.7315849877848323,1.248228853111547e-10,0.04515788528220406
1.348228853111547e-10,0.7888151831786601,1.348228853111547e-10,0.0245401411219809
1.448228853111547e-10,0.844597237870349,1.448228853111547e-10,0.0127963375987152
1.548228853111547e-10,0.8972551800726987,1.548228853111547e-10,0.0067960879165146
1.648228853111547e-10,0.9454721226610772,1.648228853111547e-10,0.003947925905788227
1.748228853111547e-10,0.9884692981324087,1.748228853111547e-10,0.002618203962364461
1.848228853111547e-10,1.025933949592677,1.848228853111547e-10,0.001949463830185311
1.948228853111547e-10,1.057970376956878,1.948228853111547e-10,0.001556251644708662
2.048228853111547e-10,1.084938922836094,2.048228853111547e-10,0.001275762269148504
2.148228853111547e-10,1.107361009853755,2.148228853111547e-10,0.001051613883138559
2.248228853111546e-10,1.125797274328088,2.248228853111546e-10,0.0008618081896337145
2.348228853111546e-10,1.140825517435239,2.348228853111546e-10,0.0007018262861386385
2.448228853111547e-10,1.152976243143243,2.448228853111547e-10,0.0005667720708941923
2.548228853111547e-10,1.162744648606542,2.548228853111547e-10,0.000455382958567744
2.648228853111547e-10,1.170551024007842,2.648228853111547e-10,0.0003635450325372223
2.748228853111547e-10,1.176769215013573,2.748228853111547e-10,0.0002894017749581813
2.848228853111547e-10,1.181699566241541,2.848228853111547e-10,0.0002293068471769458
2.948228853111547e-10,1.185604027558013,2.948228853111547e-10,0.0001814639538435792
3.048228853111548e-10,1.18868355202083,3.048228853111548e-10,0.000143112412504523
3.148228853111548e-10,1.191113970521235,3.148228853111548e-10,0.0001128244024801719
3.248228853111548e-10,1.193023817590876,3.248228853111548e-10,8.873862142346445e-05
3.348228853111548e-10,1.194528570256912,3.348228853111548e-10,6.977446290053997e-05
3.448228853111548e-10,1.195707678649286,3.448228853111548e-10,5.519304296283684e-05
3.548228853111548e-10,1.196636304370662,3.548228853111548e-10,4.311182886810131e-05
3.648228853111549e-10,1.197362018100816,3.648228853111549e-10,3.405835765505387e-05
3.748228853111549e-10,1.19793410939785,3.748228853111549e-10,2.652335061432858e-05
3.848228853111549e-10,1.198379800711692,3.848228853111549e-10,2.099098923896772e-05
3.948228853111549e-10,1.198731999697389,3.948228853111549e-10,1.628440794864104e-05
4.048228853111549e-10,1.199005217718368,4.048228853111549e-10,1.294671950773994e-05
4.148228853111549e-10,1.19922208102287,4.148228853111549e-10,9.978984362066312e-06
4.24822885311155e-10,1.199389250710573,4.24822885311155e-10,8.004435327934169e-06
4.34822885311155e-10,1.199522923552599,4.34822885311155e-10,6.09940927341564e-06
4.44822885311155e-10,1.199624960646033,4.44822885311155e-10,4.993258002679763e-06
4.54822885311155e-10,1.199707531589486,4.54822885311155e-10,3.719110334772841e-06
4.64822885311155e-10,1.199769595988053,4.64822885311155e-10,3.136235506211464e-06
4.74822885311155e-10,1.199820787022154,4.74822885311155e-10,2.251587251564443e-06
4.84822885311155e-10,1.199858334584602,4.84822885311155e-10,1.999277793990385e-06
4.924114426555775e-10,1.199883516954957,4.924114426555775e-10,1.441600969923385e-06
5e-10,1.19990190599744,5e-10,1.455788220347214e-06
