/QB X,/QB Y,/Q X,/Q Y
0,0.4726419135721254,0,0.4742269376829932
1.310125630108298e-11,0.4734744638698924,1.310125630108298e-11,0.4751221361628231
2.35084094549713e-11,0.4741056370813685,2.35084094549713e-11,0.4758055892539834
4.123822634189248e-11,0.4751325895369691,4.123822634189248e-11,0.4769256529783117
7.669786011573483e-11,0.4769170414727985,7.669786011573483e-11,0.4789218706476394
1.476171276634195e-10,0.4795911288724166,1.476171276634195e-10,0.4821366215963916
2.894556627587889e-10,0.4823619334422417,2.894556627587889e-10,0.4866359687033325
3.420917470690917e-10,0.4828012545077062,3.420917470690917e-10,0.4879546321655318
4.210458735345458e-10,0.4889457477088101,4.210458735345458e-10,0.494076574682551
4.999999999999999e-10,0.5265189367754355,4.999999999999999e-10,0.5262671113585058
5.04115091073911e-10,0.5292949415941351,5.04115091073911e-10,0.5285556058048182
5.123452732217331e-10,0.5345151288351552,5.123452732217331e-10,0.5328358438968664
5.288056375173772e-10,0.543200138025017,5.288056375173772e-10,0.5398229283033197
5.549689076306718e-10,0.5533652601500266,5.549689076306718e-10,0.5476274084112909
6.064314813012521e-10,0.5654392811633149,6.064314813012521e-10,0.5556801040822227
6.660421103903421e-10,0.5723773569082926,6.660421103903421e-10,0.5584371581505426
7.415767748723215e-10,0.5769743884895464,7.415767748723215e-10,0.5580963377266872
8.353056577408175e-10,0.5804595571509994,8.353056577408175e-10,0.5559078995713964
9.698244417247518e-10,0.5842592667567148,9.698244417247518e-10,0.5524007958127379
1.175472805819153e-09,0.5890417700095684,1.175472805819153e-09,0.5477331931932671
1.54193708376927e-09,0.5956503668398899,1.54193708376927e-09,0.5414821881605637
2.254879545004421e-09,0.6039685431620363,2.254879545004421e-09,0.533895077304079
3.230240116772244e-09,0.6099224184610252,3.230240116772244e-09,0.5286953255298767
4.230240116772244e-09,0.6129004797017314,4.230240116772244e-09,0.5260801725096732
5.230240116772244e-09,0.6144984385329529,5.230240116772244e-09,0.5247732001315888
6.230240116772244e-09,0.6153639334965754,6.230240116772244e-09,0.5239971782527904
7.230240116772244e-09,0.6158699230791698,7.230240116772244e-09,0.5236014024676936
8.230240116772244e-09,0.6161428532704939,8.230240116772244e-09,0.5233452040841193
9.230240116772244e-09,0.6163120404092106,9.230240116772244e-09,0.5232220186043949
1.023024011677225e-08,0.6163996046807447,1.023024011677225e-08,0.5231327798612716
1.123024011677225e-08,0.6164579756730982,1.123024011677225e-08,0.5230953383441189
1.223024011677225e-08,0.6164856478949997,1.223024011677225e-08,0.5230628426211136
1.323024011677225e-08,0.616506405899338,1.323024011677225e-08,0.5230523697697138
1.423024011677225e-08,0.6165147378861103,1.423024011677225e-08,0.5230399175494714
1.523024011677225e-08,0.6165224299037476,1.523024011677225e-08,0.5230375856280743
1.623024011677225e-08,0.6165246583842886,1.623024011677225e-08,0.5230325247264547
1.723024011677225e-08,0.6165276795222285,1.723024011677225e-08,0.5230323961687176
1.823024011677225e-08,0.6165280850320766,1.823024011677225e-08,0.5230302223173441
1.923024011677224e-08,0.6165293649478301,1.923024011677224e-08,0.5230305168823323
2.023024011677224e-08,0.6165292935352421,2.023024011677224e-08,0.5230295570177285
2.123024011677224e-08,0.6165298845684449,2.123024011677224e-08,0.5230298034663031
2.223024011677224e-08,0.6165297341463528,2.223024011677224e-08,0.5230293984141403
2.323024011677224e-08,0.6165300312533022,2.323024011677224e-08,0.5230295143742519
2.423024011677224e-08,0.6165299030675122,2.423024011677224e-08,0.5230293840372188
2.523024011677224e-08,0.6165300638487728,2.523024011677224e-08,0.523029387527463
2.623024011677224e-08,0.6165299723832889,2.623024011677224e-08,0.5230294025320916
2.723024011677224e-08,0.6165300647576981,2.723024011677224e-08,0.5230293271120313
2.823024011677224e-08,0.6165300031725994,2.823024011677224e-08,0.5230294227431123
2.923024011677223e-08,0.616530059110554,2.923024011677223e-08,0.523029296130168
3.023024011677224e-08,0.6165300180170341,3.023024011677224e-08,0.5230294378661121
3.123024011677224e-08,0.6165300535896907,3.123024011677224e-08,0.5230292794106371
3.223024011677224e-08,0.6165300256552965,3.223024011677224e-08,0.5230294479265669
3.323024011677224e-08,0.616530049653772,3.323024011677224e-08,0.5230292700123799
3.423024011677225e-08,0.6165300298459285,3.423024011677225e-08,0.5230294541850584
3.523024011677225e-08,0.6165300470682598,3.523024011677225e-08,0.5230292646674951
3.623024011677225e-08,0.6165300321271698,3.623024011677225e-08,0.5230294580166658
3.723024011677225e-08,0.6165300454541066,3.723024011677225e-08,0.5230292616388146
3.823024011677226e-08,0.6165300334073583,3.823024011677226e-08,0.5230294602656703
3.923024011677226e-08,0.6165300445119378,3.923024011677226e-08,0.5230292599285744
4.023024011677226e-08,0.6165300341448031,4.023024011677226e-08,0.523029461514715
4.123024011677226e-08,0.6165300440117992,4.123024011677226e-08,0.5230292589785831
4.223024011677227e-08,0.6165300345035218,4.223024011677227e-08,0.5230294621936852
4.323024011677227e-08,0.6165300437410972,4.323024011677227e-08,0.523029258524178
4.423024011677227e-08,0.616530034695169,4.423024011677227e-08,0.5230294624881416
4.523024011677227e-08,0.6165300435853142,4.523024011677227e-08,0.5230292583701799
4.623024011677227e-08,0.6165300347188696,4.623024011677227e-08,0.5230294626102731
4.723024011677228e-08,0.6165300435455919,4.723024011677228e-08,0.523029258371325
4.823024011677228e-08,0.6165300347153766,4.823024011677228e-08,0.5230294625653116
4.923024011677228e-08,0.6165300435907818,4.923024011677228e-08,0.523029258448783
5e-08,0.6165300345633589,5e-08,0.5230294622832391
