/QB2 (VDD=1.2) X,/QB2 (VDD=1.2) Y,/QB1 (VDD=1.2) X,/QB1 (VDD=1.2) Y
-0.7071067811865475,0.9998615844992619,-0.7071067811865475,0.853184713082441
-0.6788225099390855,0.9598920813331431,-0.6788225099390855,0.8377713396369173
-0.6505382386916236,0.9199680505156049,-0.6505382386916236,0.8209000443499284
-0.6222539674441617,0.8801667019068874,-0.6222539674441617,0.8025313246517458
-0.5939696961966998,0.8406749930945011,-0.5939696961966998,0.7826736704970821
-0.5656854249492379,0.801895311516484,-0.5656854249492379,0.7613925729284442
-0.537401153701776,0.7645576901481695,-0.537401153701776,0.7388099226873341
-0.5091168824543141,0.7297157308512798,-0.5091168824543141,0.7150915475530578
-0.4808326112068522,0.6985432218988904,-0.4808326112068522,0.6904262889201664
-0.4525483399593903,0.672037793187689,-0.4525483399593903,0.6650043129193374
-0.4242640687119283,0.6507945883098128,-0.4242640687119283,0.6390016028578462
-0.3959797974644664,0.6349268751955423,-0.3959797974644664,0.612573072908482
-0.3676955262170045,0.6240345458661117,-0.3676955262170045,0.5858526640419996
-0.3394112549695426,0.6168903708204511,-0.3394112549695426,0.5589573646839874
-0.3111269837220807,0.6115766455581919,-0.3111269837220807,0.531992668856036
-0.2828427124746188,0.6069169523037482,-0.2828427124746188,0.5050580754441589
-0.2545584412271569,0.6025516068281465,-0.2545584412271569,0.4782519936142028
-0.226274169979695,0.5983732618094488,-0.226274169979695,0.4516756042933823
-0.197989898732233,0.5943356179997651,-0.197989898732233,0.4254347619023698
-0.1697056274847711,0.5904111765389816,-0.1697056274847711,0.399637982001699
-0.1414213562373092,0.5865803773991912,-0.1414213562373092,0.3743882544348486
-0.1131370849898473,0.5828279324530365,-0.1131370849898473,0.3497701590993339
-0.08485281374238543,0.5791412240239242,-0.08485281374238543,0.325840403345721
-0.05656854249492353,0.5755094398723342,-0.05656854249492353,0.3026285111400644
-0.02828427124746163,0.5719230216959584,-0.02828427124746163,0.2801445821366046
0,0.5683732628173462,0,0.2583873828633376
0.0282842712474619,0.5648519756601992,0.0282842712474619,0.2373497660466408
0.0565685424949238,0.5613511775626514,0.0565685424949238,0.2170215545180828
0.08485281374238569,0.5578627503681172,0.08485281374238569,0.1973907276874221
0.1131370849898476,0.554378012402833,0.1131370849898476,0.1784435489441416
0.1414213562373095,0.5508871132287273,0.1414213562373095,0.1601640840823747
0.1697056274847714,0.5473780840406577,0.1697056274847714,0.1425335756538685
0.1979898987322333,0.5438352256822755,0.1979898987322333,0.1255303473219576
0.2262741699796952,0.5402361881656516,0.2262741699796952,0.1091315087761659
0.2545584412271572,0.5365463780264703,0.2545584412271572,0.09332030124387893
0.2828427124746191,0.5327077751567351,0.2828427124746191,0.0781113601518594
0.311126983722081,0.5286159435438027,0.311126983722081,0.06361939475659517
0.3394112549695429,0.5240735915152853,0.3394112549695429,0.05011572480970263
0.3676955262170048,0.5187069868155231,0.3676955262170048,0.0379459989717771
0.3959797974644667,0.5118588015865833,0.3959797974644667,0.02741439154050788
0.4242640687119286,0.5025654722044682,0.4242640687119286,0.0187277616185625
0.4525483399593905,0.4897480776404918,0.4525483399593905,0.01196670390892043
0.4808326112068524,0.4725120559783291,0.4808326112068524,0.00706468724141905
0.5091168824543143,0.4503350091961669,0.5091168824543143,0.003807755335358325
0.5374011537017762,0.4231584653158681,0.5374011537017762,0.001860942108912341
0.5656854249492381,0.391449136695086,0.5656854249492381,0.0008275482714333543
0.5939696961967,0.3561503309735249,0.5939696961967,0.0003392270485861719
0.6222539674441619,0.3184463717849212,0.6222539674441619,0.0001302689890649009
0.6505382386916239,0.2794134835261561,0.6505382386916239,4.761170436932898e-05
0.6788225099390858,0.2397751625222694,0.6788225099390858,1.680786732951763e-05
0.7071067811865475,0.1999018249509879,0.7071067811865475,5.803467481569158e-06
