/QB X,/QB Y,/Q X,/Q Y,/QB X,/QB Y,/Q X,/Q Y
0,0.5816712711613077,0,0.5816902493970258,0,0.5816712711613077,0,0.5816902493970258
1.435170721551969e-10,0.5817335940440292,1.435170721551969e-10,0.5817151115466066,1.435170721551969e-10,0.5817335940440292,1.435170721551969e-10,0.5817151115466066
2.586457725853738e-10,0.5817217152368811,2.586457725853738e-10,0.5817496542517665,2.586457725853738e-10,0.5817217152368811,2.586457725853738e-10,0.5817496542517665
4.502926560981131e-10,0.581835731895285,4.502926560981131e-10,0.5816491828962498,4.502926560981131e-10,0.581835731895285,4.502926560981131e-10,0.5816491828962498
8.335864231235916e-10,0.5815448237185371,8.335864231235916e-10,0.58193049765228,8.335864231235916e-10,0.5815448237185371,8.335864231235916e-10,0.58193049765228
1.571426483813866e-09,0.5821630121535721,1.571426483813866e-09,0.580951823827205,1.571426483813866e-09,0.5821630121535721,1.571426483813866e-09,0.580951823827205
2.545977917076914e-09,0.5858014613299344,2.545977917076914e-09,0.5609562215574289,2.545977917076914e-09,0.5858014613299344,2.545977917076914e-09,0.5609562215574289
2.761974908997753e-09,0.5966016735873548,2.761974908997753e-09,0.5382697272630447,2.761974908997753e-09,0.5966016735873548,2.761974908997753e-09,0.5382697272630447
3.193968892839429e-09,0.5875826336372542,3.193968892839429e-09,0.5038036840630539,3.193968892839429e-09,0.5875826336372542,3.193968892839429e-09,0.5038036840630539
3.272658582176624e-09,0.5628751880191298,3.272658582176624e-09,0.5191634776352292,3.272658582176624e-09,0.5628751880191298,3.272658582176624e-09,0.5191634776352292
3.312003426845222e-09,0.5365472111125784,3.312003426845222e-09,0.5412558057973892,3.312003426845222e-09,0.5365472111125784,3.312003426845222e-09,0.5412558057973892
3.331675849179521e-09,0.5172769656875105,3.331675849179521e-09,0.5585724685228364,3.331675849179521e-09,0.5172769656875105,3.331675849179521e-09,0.5585724685228364
3.371020693848119e-09,0.457914913061497,3.371020693848119e-09,0.6141518959357667,3.371020693848119e-09,0.457914913061497,3.371020693848119e-09,0.6141518959357667
