/QB X,/QB Y,/Q X,/Q Y,/QB X,/QB Y,/Q X,/Q Y
2.875349213510261e-07,1.179280182164799e-06,2.875349213510261e-07,1.200000732343893,2.875349213510261e-07,1.179280182164799e-06,2.875349213510261e-07,1.200000732343893
2.975349213510261e-07,-1.097845972269524e-06,2.975349213510261e-07,1.199999041770415,2.975349213510261e-07,-1.097845972269524e-06,2.975349213510261e-07,1.199999041770415
3.075349213510261e-07,1.169095458914285e-06,3.075349213510261e-07,1.200000713860147,3.075349213510261e-07,1.169095458914285e-06,3.075349213510261e-07,1.200000713860147
3.175349213510261e-07,-1.087703751883761e-06,3.175349213510261e-07,1.199999060046343,3.175349213510261e-07,-1.087703751883761e-06,3.175349213510261e-07,1.199999060046343
3.275349213510261e-07,1.158995369056011e-06,3.275349213510261e-07,1.200000695794941,3.275349213510261e-07,1.158995369056011e-06,3.275349213510261e-07,1.200000695794941
3.375349213510261e-07,-1.077645870601435e-06,3.375349213510261e-07,1.199999077908509,3.375349213510261e-07,-1.077645870601435e-06,3.375349213510261e-07,1.199999077908509
3.475349213510261e-07,1.148979351742045e-06,3.475349213510261e-07,1.200000678138674,3.475349213510261e-07,1.148979351742045e-06,3.475349213510261e-07,1.200000678138674
3.575349213510261e-07,-1.067671768313629e-06,3.575349213510261e-07,1.199999095366404,3.575349213510261e-07,-1.067671768313629e-06,3.575349213510261e-07,1.199999095366404
3.675349213510261e-07,1.13904684635403e-06,3.675349213510261e-07,1.200000660881964,3.675349213510261e-07,1.13904684635403e-06,3.675349213510261e-07,1.200000660881964
3.775349213510262e-07,-1.057780885198277e-06,3.775349213510262e-07,1.1999991124293,3.775349213510262e-07,-1.057780885198277e-06,3.775349213510262e-07,1.1999991124293
3.875349213510262e-07,1.129197292543018e-06,3.875349213510262e-07,1.200000644015647,3.875349213510262e-07,1.129197292543018e-06,3.875349213510262e-07,1.200000644015647
3.975349213510262e-07,-1.047972661752885e-06,3.975349213510262e-07,1.199999129106259,3.975349213510262e-07,-1.047972661752885e-06,3.975349213510262e-07,1.199999129106259
4.075349213510262e-07,1.11943013046198e-06,4.075349213510262e-07,1.200000627530766,4.075349213510262e-07,1.11943013046198e-06,4.075349213510262e-07,1.200000627530766
4.175349213510262e-07,-1.038246538969127e-06,4.175349213510262e-07,1.199999145406134,4.175349213510262e-07,-1.038246538969127e-06,4.175349213510262e-07,1.199999145406134
4.275349213510262e-07,1.10974480057037e-06,4.275349213510262e-07,1.20000061141857,4.275349213510262e-07,1.10974480057037e-06,4.275349213510262e-07,1.20000061141857
4.375349213510262e-07,-1.028601958204832e-06,4.375349213510262e-07,1.199999161337575,4.375349213510262e-07,-1.028601958204832e-06,4.375349213510262e-07,1.199999161337575
4.475349213510262e-07,1.100140744153331e-06,4.475349213510262e-07,1.20000059567051,4.475349213510262e-07,1.100140744153331e-06,4.475349213510262e-07,1.20000059567051
4.575349213510262e-07,-1.019038361626872e-06,4.575349213510262e-07,1.199999176909035,4.575349213510262e-07,-1.019038361626872e-06,4.575349213510262e-07,1.199999176909035
4.675349213510262e-07,1.090617403170467e-06,4.675349213510262e-07,1.200000580278231,4.675349213510262e-07,1.090617403170467e-06,4.675349213510262e-07,1.200000580278231
4.775349213510263e-07,-1.009555192174173e-06,4.775349213510263e-07,1.19999919212877,4.775349213510263e-07,-1.009555192174173e-06,4.775349213510263e-07,1.19999919212877
4.875349213510263e-07,1.081174220338018e-06,4.875349213510263e-07,1.200000565233572,4.875349213510263e-07,1.081174220338018e-06,4.875349213510263e-07,1.200000565233572
4.937674606755132e-07,-9.972221577074506e-07,4.937674606755132e-07,1.199999211425469,4.937674606755132e-07,-9.972221577074506e-07,4.937674606755132e-07,1.199999211425469
5e-07,1.06605963959078e-06,5e-07,1.200000541767084,5e-07,1.06605963959078e-06,5e-07,1.200000541767084
