/QB2 (VDD=1.2) X,/QB2 (VDD=1.2) Y,/QB1 (VDD=1.2) X,/QB1 (VDD=1.2) Y
-0.7071067811865475,0.9998615844979496,-0.7071067811865475,1.199941719612825
-0.6788225099390855,0.9598920813331431,-0.6788225099390855,1.199816329521719
-0.6505382386916236,0.9199680505156049,-0.6505382386916236,1.199443386754375
-0.6222539674441617,0.8801667019068874,-0.6222539674441617,1.198424575152466
-0.5939696961966998,0.8406749930945011,-0.5939696961966998,1.19597160549366
-0.5656854249492379,0.801895311516484,-0.5656854249492379,1.190917205080785
-0.537401153701776,0.7645576901481695,-0.537401153701776,1.182030119800162
-0.5091168824543141,0.7297157308512798,-0.5091168824543141,1.168426808873064
-0.4808326112068522,0.6985432218988904,-0.4808326112068522,1.149778602556416
-0.4525483399593903,0.672037793187689,-0.4525483399593903,1.126280359609712
-0.4242640687119283,0.6507945883098128,-0.4242640687119283,1.098532539114144
-0.3959797974644664,0.6349268751955423,-0.3959797974644664,1.067434072700679
-0.3676955262170045,0.6240345458661117,-0.3676955262170045,1.034016005509429
-0.3394112549695426,0.6168903708204511,-0.3394112549695426,0.9991855790886913
-0.3111269837220807,0.6115766455581919,-0.3111269837220807,0.9635631209548084
-0.2828427124746188,0.6069169523037482,-0.2828427124746188,0.9275050746767297
-0.2545584412271569,0.6025516068281465,-0.2545584412271569,0.8912014511978502
-0.226274169979695,0.5983732545575317,-0.226274169979695,0.8547536350277016
-0.197989898732233,0.5943356179997598,-0.197989898732233,0.8182182633061315
-0.1697056274847711,0.5904111765389816,-0.1697056274847711,0.7816291845908628
-0.1414213562373092,0.5865803773991912,-0.1414213562373092,0.7450083174835919
-0.1131370849898473,0.5828279324530365,-0.1131370849898473,0.7083710670498685
-0.08485281374238543,0.5791412240239242,-0.08485281374238543,0.6717291821832904
-0.05656854249492353,0.5755094398723342,-0.05656854249492353,0.6350923347421573
-0.02828427124746163,0.5719230216959584,-0.02828427124746163,0.5984690514076242
0,0.5683732628173462,0,0.5618673087520812
0.0282842712474619,0.5648519756601992,0.0282842712474619,0.5252949532583169
0.0565685424949238,0.5613511775626514,0.0565685424949238,0.4887600370930847
0.08485281374238569,0.5578627503681172,0.08485281374238569,0.4522711271606054
0.1131370849898476,0.554378012402833,0.1131370849898476,0.4158376335916196
0.1414213562373095,0.5508871132287273,0.1414213562373095,0.3794702089135427
0.1697056274847714,0.5473780840406577,0.1697056274847714,0.3431812996470119
0.1979898987322333,0.5438352256822755,0.1979898987322333,0.3069860223939467
0.2262741699796952,0.5402361881656516,0.2262741699796952,0.2709038150242971
0.2545584412271572,0.5365463805080707,0.2545584412271572,0.2349623043204666
0.2828427124746191,0.5327077824260275,0.2828427124746191,0.1992090675354183
0.311126983722081,0.5286159661555488,0.311126983722081,0.1637587777331181
0.3394112549695429,0.5240736672872159,0.3394112549695429,0.1290152979918887
0.3676955262170048,0.5187069868168271,0.3676955262170048,0.09634162034235737
0.3959797974644667,0.5118588015865835,0.3959797974644667,0.06789323778502247
0.4242640687119286,0.5025654722044681,0.4242640687119286,0.04488873446566779
0.4525483399593905,0.4897480776404918,0.4525483399593905,0.02755008163216664
0.4808326112068524,0.4725120559783291,0.4808326112068524,0.01551143702537259
0.5091168824543143,0.4503350091961669,0.5091168824543143,0.007931489431988669
0.5374011537017762,0.4231584653158681,0.5374011537017762,0.003668208392061043
0.5656854249492381,0.391449136695086,0.5656854249492381,0.001544710481976896
0.5939696961967,0.3561503309735249,0.5939696961967,0.0006019575487171988
0.6222539674441619,0.3184463717849212,0.6222539674441619,0.0002210904742205178
0.6505382386916239,0.2794134835261561,0.6505382386916239,7.780646694664408e-05
0.6788225099390858,0.2397751625222694,0.6788225099390858,2.661753884915711e-05
0.7071067811865475,0.1999018249509879,0.7071067811865475,8.964059669334109e-06
